customerID,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,NumServices,Churn
C10000,14,Month-to-month,Bank transfer,42.98,622.98,0,2,0
C10001,54,Month-to-month,Electronic check,40.3,2270.22,0,4,0
C10002,57,One year,Electronic check,95.4,5264.06,0,7,0
C10003,43,Month-to-month,Credit card,27.87,1272.02,1,5,0
C10004,48,Month-to-month,Bank transfer,102.6,5126.3,1,4,1
C10005,37,Two year,Mailed check,106.38,3899.38,1,5,0
C10006,45,Month-to-month,Bank transfer,89.59,4059.08,0,3,0
C10007,34,Two year,Mailed check,87.83,3178.41,0,4,0
C10008,8,Month-to-month,Bank transfer,39.69,341.95,1,7,0
C10009,17,Month-to-month,Bank transfer,94.2,1557.2,1,7,0
C10010,63,Month-to-month,Electronic check,105.83,7056.77,0,3,0
C10011,48,One year,Credit card,71.97,3580.11,0,2,0
C10012,43,Month-to-month,Credit card,34.13,1606.1,0,5,0
C10013,13,Two year,Bank transfer,103.85,1316.01,0,3,1
C10014,67,Two year,Bank transfer,67.84,4889.56,0,6,0
C10015,7,Month-to-month,Electronic check,26.74,205.07,1,2,0
C10016,60,Two year,Mailed check,45.04,2934.22,1,4,0
C10017,39,Month-to-month,Bank transfer,62.69,,1,2,1
C10018,70,Month-to-month,Mailed check,18.73,1197.66,0,4,1
C10019,65,Month-to-month,Credit card,39.85,2457.11,0,8,0
C10020,12,Month-to-month,Credit card,54.14,696.96,1,8,1
C10021,12,Month-to-month,Bank transfer,99.66,1122.15,0,4,1
C10022,23,Month-to-month,Mailed check,107.2,2617.49,0,8,0
C10023,69,Two year,Electronic check,112.49,7616.53,0,3,0
C10024,7,Month-to-month,Electronic check,118.5,793.87,1,8,0
C10025,71,One year,Credit card,33.79,2623.99,1,4,0
C10026,40,Month-to-month,Credit card,69.29,3027.02,0,1,1
C10027,8,One year,Mailed check,59.19,484.83,0,1,0
C10028,66,Month-to-month,Bank transfer,38.83,2442.64,1,4,0
C10029,58,Month-to-month,Electronic check,18.95,1107.37,0,2,0
C10030,44,Two year,Mailed check,55.69,2613.92,0,8,0
C10031,67,Month-to-month,Bank transfer,113.04,7216.91,0,3,0
C10032,19,Month-to-month,Mailed check,91.2,1734.67,0,5,1
C10033,6,Month-to-month,Credit card,102.59,595.05,0,1,1
C10034,20,One year,Credit card,75.21,1638.09,0,2,0
C10035,4,Two year,Mailed check,61.84,240.66,0,5,0
C10036,5,Two year,Mailed check,87.57,462.38,0,6,0
C10037,19,Two year,Mailed check,106.19,1825.85,0,7,0
C10038,52,Two year,Mailed check,45.21,2525.91,0,7,0
C10039,58,Month-to-month,Mailed check,40.74,2281.76,0,7,0
C10040,35,Month-to-month,Credit card,87.31,2820.76,1,1,0
C10041,33,Month-to-month,Credit card,53.26,1794.91,1,7,0
C10042,24,Month-to-month,Credit card,18.17,430.09,0,6,0
C10043,40,One year,Electronic check,91.41,3778.45,1,5,0
C10044,70,Month-to-month,Credit card,85.82,6146.19,1,3,0
C10045,0,Month-to-month,Mailed check,61.85,0.0,1,8,0
C10046,65,Month-to-month,Mailed check,85.2,5087.64,1,6,0
C10047,39,Month-to-month,Mailed check,33.03,1412.85,0,4,0
C10048,58,Month-to-month,Mailed check,91.27,5187.42,1,8,0
C10049,13,One year,Mailed check,35.94,472.58,1,1,0
C10050,17,Two year,Bank transfer,114.9,2082.44,1,7,0
C10051,60,Month-to-month,Mailed check,103.67,6377.88,1,8,0
C10052,36,Month-to-month,Bank transfer,50.61,1694.73,0,3,0
C10053,27,Month-to-month,Credit card,51.75,1274.93,1,7,0
C10054,2,Two year,Credit card,66.65,140.06,1,5,0
C10055,53,Month-to-month,Mailed check,67.8,3583.08,1,7,0
C10056,51,One year,Credit card,111.79,5806.07,0,7,0
C10057,54,Month-to-month,Credit card,36.54,1905.03,1,7,0
C10058,48,Month-to-month,Credit card,43.73,1897.27,0,8,0
C10059,44,Month-to-month,Electronic check,97.69,,0,1,1
C10060,19,Month-to-month,Credit card,86.28,1704.72,0,8,0
C10061,14,One year,Mailed check,116.4,1769.38,0,1,0
C10062,48,Month-to-month,Mailed check,25.75,1284.75,0,2,0
C10063,15,One year,Electronic check,53.41,,1,6,0
C10064,53,Two year,Electronic check,62.22,3434.39,1,8,0
C10065,34,One year,Credit card,65.42,2380.74,1,6,0
C10066,57,Month-to-month,Credit card,76.12,3929.86,1,6,0
C10067,27,Month-to-month,Bank transfer,52.71,1427.9,1,1,0
C10068,52,Month-to-month,Mailed check,88.44,4868.31,1,8,0
C10069,31,Month-to-month,Bank transfer,66.27,2258.42,1,7,0
C10070,58,Month-to-month,Bank transfer,41.51,2224.39,0,6,0
C10071,23,Month-to-month,Credit card,46.2,1133.29,1,2,0
C10072,38,Month-to-month,Mailed check,45.98,1816.23,0,5,1
C10073,62,Month-to-month,Electronic check,76.55,4689.59,1,8,0
C10074,61,Month-to-month,Electronic check,58.87,3340.94,0,1,0
C10075,10,Two year,Electronic check,74.92,790.51,1,4,0
C10076,38,Two year,Credit card,49.15,2034.89,0,2,0
C10077,10,Month-to-month,Mailed check,74.3,729.41,0,1,0
C10078,4,Month-to-month,Bank transfer,89.7,372.25,1,2,0
C10079,25,Month-to-month,Mailed check,84.06,1921.36,1,3,1
C10080,72,Two year,Credit card,30.68,2404.53,1,7,0
C10081,10,One year,Credit card,92.92,853.25,1,1,0
C10082,2,Two year,Bank transfer,76.78,154.14,0,8,0
C10083,55,One year,Credit card,116.84,6308.41,1,6,0
C10084,20,Month-to-month,Credit card,47.4,939.43,1,1,0
C10085,51,Two year,Electronic check,85.08,3952.21,1,7,0
C10086,63,One year,Electronic check,38.76,2411.66,0,5,0
C10087,30,One year,Bank transfer,74.19,2103.15,1,2,0
C10088,15,One year,Mailed check,68.83,1015.0,1,5,0
C10089,58,One year,Credit card,37.44,2074.34,0,2,0
C10090,64,Month-to-month,Electronic check,46.85,3217.44,1,8,0
C10091,42,One year,Credit card,64.45,2967.18,1,4,0
C10092,52,Month-to-month,Credit card,89.93,5133.16,1,7,0
C10093,19,Month-to-month,Electronic check,30.88,630.63,1,2,0
C10094,58,Month-to-month,Mailed check,59.82,3448.39,0,2,0
C10095,50,One year,Bank transfer,104.94,5380.06,1,6,0
C10096,69,Month-to-month,Electronic check,41.95,3037.41,1,4,0
C10097,12,Month-to-month,Bank transfer,110.15,1400.09,0,6,1
C10098,18,Month-to-month,Credit card,75.72,1274.39,0,3,0
C10099,30,Month-to-month,Mailed check,41.68,1189.21,1,8,1
C10100,36,One year,Mailed check,25.53,944.62,1,5,0
C10101,38,Month-to-month,Credit card,105.04,3896.81,0,4,0
C10102,37,Month-to-month,Credit card,46.0,1815.3,0,8,0
C10103,29,One year,Bank transfer,40.34,1211.45,0,5,0
C10104,17,One year,Electronic check,49.51,855.06,1,1,0
C10105,37,Month-to-month,Credit card,35.92,1337.24,0,6,0
C10106,32,Two year,Credit card,116.67,3960.61,1,6,0
C10107,28,Two year,Credit card,116.66,3456.38,1,2,1
C10108,58,Month-to-month,Bank transfer,77.63,4659.98,1,2,0
C10109,71,Month-to-month,Mailed check,84.06,6146.4,1,5,0
C10110,4,Month-to-month,Credit card,29.84,116.7,0,3,1
C10111,69,Month-to-month,Mailed check,108.31,7646.25,0,8,0
C10112,47,Month-to-month,Credit card,114.96,5922.82,1,2,0
C10113,45,Month-to-month,Bank transfer,37.36,1543.9,0,8,0
C10114,2,Month-to-month,Bank transfer,42.84,78.29,0,4,0
C10115,27,Two year,Mailed check,51.51,1328.82,0,1,0
C10116,69,Month-to-month,Mailed check,29.21,1819.93,0,3,0
C10117,41,Month-to-month,Bank transfer,23.34,1003.96,1,2,0
C10118,65,One year,Credit card,69.39,4472.5,0,5,0
C10119,61,Two year,Credit card,87.98,4908.98,1,8,0
C10120,8,Month-to-month,Bank transfer,56.85,455.3,1,8,0
C10121,14,Two year,Mailed check,61.87,838.28,0,7,0
C10122,12,Month-to-month,Bank transfer,85.84,1068.57,1,3,0
C10123,10,Month-to-month,Electronic check,93.95,950.09,1,3,0
C10124,42,One year,Credit card,54.07,2483.68,1,1,0
C10125,64,Month-to-month,Credit card,40.87,2796.36,0,6,0
C10126,28,Two year,Electronic check,80.12,2099.97,1,1,0
C10127,43,Month-to-month,Mailed check,106.73,4260.67,1,2,0
C10128,67,Month-to-month,Credit card,64.27,4143.87,0,6,0
C10129,10,Two year,Mailed check,34.06,325.08,0,2,0
C10130,56,Month-to-month,Mailed check,95.0,5245.43,0,6,0
C10131,62,Month-to-month,Bank transfer,22.63,1264.91,1,1,0
C10132,17,One year,Bank transfer,51.47,918.22,0,8,0
C10133,29,Month-to-month,Bank transfer,25.35,664.39,0,7,0
C10134,54,One year,Credit card,47.53,2805.93,1,1,0
C10135,58,Two year,Bank transfer,26.99,1545.28,0,4,0
C10136,39,One year,Mailed check,51.97,2031.08,0,2,0
C10137,44,Month-to-month,Mailed check,42.1,1740.25,0,5,0
C10138,9,Month-to-month,Credit card,65.32,630.71,1,6,0
